program_string,nested_shape_type,nested_shape_scale,inner_shape_type,inner_n_shapes,outer_shape_type,outer_ring_variant,render_filepath
(C (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.2199999999999999 0 -0.10999999999999995 0.19052558883257645)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7276000000000007 0)) 4 (M 1 1.5707963267948966 0 0)))),c,2.2,h,4,s,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/115.png
(C (C (T (repeat (T l (M 4.937396119256775 0 -2.4686980596283874 3.3978713763747797)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0))) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.3099999999999999 0 -0.15499999999999994 0.26846787517317594)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.856849257006129 0)) 4 (M 1 1.5707963267948966 0 0)))),c,2.2,h,4,p,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/116.png
(C (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.3099999999999999 0 -0.15499999999999994 0.26846787517317594)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.856849257006129 0)) 4 (M 1 1.5707963267948966 0 0)))),c,2.2,h,4,p,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/117.png
(C (C (T (repeat (T l (M 4.199999999999999 0 -2.0999999999999996 3.6373066958946425)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0))) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.9788186827420535 0)) 4 (M 1 1.5707963267948966 0 0)))),c,2.2,h,4,h,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/118.png
(C (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.9788186827420535 0)) 4 (M 1 1.5707963267948966 0 0)))),c,2.2,h,4,h,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/119.png
(C (C (T (repeat (T l (M 0.43962203244072817 0 -0.21981101622036409 4.19424404596921)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0))) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.2851342252830658 0)) 6 (M 1 1.0471975511965976 0 0)))),c,2.2,h,6,c,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/120.png
(C (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 3.2851342252830658 0)) 6 (M 1 1.0471975511965976 0 0)))),c,2.2,h,6,c,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/121.png
(C (C (T (repeat (T l (M 5.939696961966999 0 -2.9698484809834995 2.9698484809835)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0))) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.2199999999999999 0 -0.10999999999999995 0.19052558883257645)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7276000000000007 0)) 6 (M 1 1.0471975511965976 0 0)))),c,2.2,h,6,s,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/122.png
(C (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.2199999999999999 0 -0.10999999999999995 0.19052558883257645)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7276000000000007 0)) 6 (M 1 1.0471975511965976 0 0)))),c,2.2,h,6,s,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/123.png
(C (C (T (repeat (T l (M 4.937396119256775 0 -2.4686980596283874 3.3978713763747797)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0))) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.3099999999999999 0 -0.15499999999999994 0.26846787517317594)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.856849257006129 0)) 6 (M 1 1.0471975511965976 0 0)))),c,2.2,h,6,p,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/124.png
(C (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.3099999999999999 0 -0.15499999999999994 0.26846787517317594)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.856849257006129 0)) 6 (M 1 1.0471975511965976 0 0)))),c,2.2,h,6,p,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/125.png
(C (C (T (repeat (T l (M 4.199999999999999 0 -2.0999999999999996 3.6373066958946425)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0))) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.9788186827420535 0)) 6 (M 1 1.0471975511965976 0 0)))),c,2.2,h,6,h,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/126.png
(C (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (C (T (repeat (T l (M 0.23027820746895286 0 -0.11513910373447643 2.1969849764600626)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (repeat (T (T (T (repeat (T l (M 0.39999999999999997 0 -0.19999999999999998 0.3464101615137755)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.9788186827420535 0)) 6 (M 1 1.0471975511965976 0 0)))),c,2.2,h,6,h,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/127.png
(C (C (T (repeat (T l (M 0.43962203244072817 0 -0.21981101622036409 4.19424404596921)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0))) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,c,4,c,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/128.png
(C (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,c,4,c,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/129.png
(C (C (T (repeat (T l (M 5.939696961966999 0 -2.9698484809834995 2.9698484809835)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0))) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,c,4,s,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/130.png
(C (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,c,4,s,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/131.png
(C (C (T (repeat (T l (M 4.937396119256775 0 -2.4686980596283874 3.3978713763747797)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0))) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.280129257006129 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,c,4,p,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/132.png
(C (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.280129257006129 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,c,4,p,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/133.png
(C (C (T (repeat (T l (M 4.199999999999999 0 -2.0999999999999996 3.6373066958946425)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0))) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.4118186827420534 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,c,4,h,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/134.png
(C (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.4118186827420534 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,c,4,h,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/135.png
(C (C (T (repeat (T l (M 0.43962203244072817 0 -0.21981101622036409 4.19424404596921)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0))) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 6 (M 1 1.0471975511965976 0 0)))),s,1.0,c,6,c,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/136.png
(C (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 6 (M 1 1.0471975511965976 0 0)))),s,1.0,c,6,c,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/137.png
(C (C (T (repeat (T l (M 5.939696961966999 0 -2.9698484809834995 2.9698484809835)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0))) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 6 (M 1 1.0471975511965976 0 0)))),s,1.0,c,6,s,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/138.png
(C (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 6 (M 1 1.0471975511965976 0 0)))),s,1.0,c,6,s,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/139.png
(C (C (T (repeat (T l (M 4.937396119256775 0 -2.4686980596283874 3.3978713763747797)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0))) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.280129257006129 0)) 6 (M 1 1.0471975511965976 0 0)))),s,1.0,c,6,p,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/140.png
(C (T (repeat (T l (M 5.348845795861505 0 -2.6744228979307527 3.6810273244060108)) 5 (M 1 1.2566370614359172 0 0)) (M 1 0.6283185307179586 0 0)) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.280129257006129 0)) 6 (M 1 1.0471975511965976 0 0)))),s,1.0,c,6,p,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/141.png
(C (C (T (repeat (T l (M 4.199999999999999 0 -2.0999999999999996 3.6373066958946425)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0))) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.4118186827420534 0)) 6 (M 1 1.0471975511965976 0 0)))),s,1.0,c,6,h,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/142.png
(C (T (repeat (T l (M 4.549999999999999 0 -2.2749999999999995 3.940415587219196)) 6 (M 1 1.0471975511965976 0 0)) (M 1 0.5235987755982988 0 0)) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.041868764994355066 0 -0.020934382497177533 0.39945181390182954)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.4118186827420534 0)) 6 (M 1 1.0471975511965976 0 0)))),s,1.0,c,6,h,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/143.png
(C (C (T (repeat (T l (M 0.43962203244072817 0 -0.21981101622036409 4.19424404596921)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0))) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,s,4,c,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/144.png
(C (T (repeat (T l (M 0.4762572018107888 0 -0.2381286009053944 4.54376438313331)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0.05235987755982988 0 0)) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.7181342252830656 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,s,4,c,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/145.png
(C (C (T (repeat (T l (M 5.939696961966999 0 -2.9698484809834995 2.9698484809835)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0))) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,s,4,s,double,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/146.png
(C (T (repeat (T l (M 6.434671708797581 0 -3.2173358543987907 3.2173358543987916)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (C (T (repeat (T l (M 1.414213562373095 0 -0.7071067811865475 0.7071067811865476)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (repeat (T (T (T (repeat (T l (M 0.565685424949238 0 -0.282842712474619 0.28284271247461906)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0.7853981633974483 0 0)) (M 1 -1.5707963267948966 0 0)) (M 1 0.0 2.044716664540925 0)) 4 (M 1 1.5707963267948966 0 0)))),s,1.0,s,4,s,outer_only,balanced_data/dim_balanced/nuts_and_bolts/dim3/var4/images/147.png
