program_string,module1_shape,module1_color,module2_shape,module2_color,render_filepath
(C (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),square,red,triangle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/59.png
(C (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),square,red,square,red,balanced_data/dim_balanced/totems/dim2/var0/images/60.png
(C (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),square,red,square,green,balanced_data/dim_balanced/totems/dim2/var0/images/61.png
(C (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),square,red,square,blue,balanced_data/dim_balanced/totems/dim2/var0/images/62.png
(C (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),square,green,circle,red,balanced_data/dim_balanced/totems/dim2/var0/images/63.png
(C (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),square,green,circle,green,balanced_data/dim_balanced/totems/dim2/var0/images/64.png
(C (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),square,green,circle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/65.png
(C (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),square,green,triangle,red,balanced_data/dim_balanced/totems/dim2/var0/images/66.png
(C (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),square,green,triangle,green,balanced_data/dim_balanced/totems/dim2/var0/images/67.png
(C (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),square,green,triangle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/68.png
(C (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),square,green,square,red,balanced_data/dim_balanced/totems/dim2/var0/images/69.png
(C (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),square,green,square,green,balanced_data/dim_balanced/totems/dim2/var0/images/70.png
(C (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),square,green,square,blue,balanced_data/dim_balanced/totems/dim2/var0/images/71.png
(C (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),square,blue,circle,red,balanced_data/dim_balanced/totems/dim2/var0/images/72.png
(C (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),square,blue,circle,green,balanced_data/dim_balanced/totems/dim2/var0/images/73.png
(C (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 0.20963111713216478 0 -0.10481555856608239 1.9999999999999998)) 60 (M 1 0.10471975511965977 0 0)) (M 1 0 0 2.0)))),square,blue,circle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/74.png
(C (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),square,blue,triangle,red,balanced_data/dim_balanced/totems/dim2/var0/images/75.png
(C (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),square,blue,triangle,green,balanced_data/dim_balanced/totems/dim2/var0/images/76.png
(C (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (T (repeat (T l (M 4.618802153517006 0 -2.309401076758503 1.3333333333333335)) 3 (M 1 2.0943951023931953 0 0)) (M 1 0 0 0.6666666666666665)) (M 1 0 0 2.0)))),square,blue,triangle,blue,balanced_data/dim_balanced/totems/dim2/var0/images/77.png
(C (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 1 0 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),square,blue,square,red,balanced_data/dim_balanced/totems/dim2/var0/images/78.png
(C (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 1 0 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),square,blue,square,green,balanced_data/dim_balanced/totems/dim2/var0/images/79.png
(C (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 -2.0))) (color 0 0 1 (T (repeat (T l (M 3.999999999999999 0 -1.9999999999999996 2.0)) 4 (M 1 1.5707963267948966 0 0)) (M 1 0 0 2.0)))),square,blue,square,blue,balanced_data/dim_balanced/totems/dim2/var0/images/80.png
